Device,Gain,Output impedance,EIN
Wing Compact,0,150,-92.37
Wing Compact,5,150,-97.17
Wing Compact,10,150,-102.35
Wing Compact,15,150,-107.12
Wing Compact,20,150,-112.27
Wing Compact,25,150,-117.16
Wing Compact,30,150,-121.76
Wing Compact,35,150,-125.24
Wing Compact,40,150,-127.76
Wing Compact,45,150,-129.04
Wing Compact,0,300,-92.35
Wing Compact,5,300,-97.18
Wing Compact,10,300,-102.36
Wing Compact,15,300,-107.08
Wing Compact,20,300,-112.22
Wing Compact,25,300,-116.93
Wing Compact,30,300,-121.31
Wing Compact,35,300,-124.68
Wing Compact,40,300,-126.82
Wing Compact,45,300,-127.83
Wing Compact,0,450,-92.37
Wing Compact,5,450,-97.16
Wing Compact,10,450,-102.31
Wing Compact,15,450,-107.08
Wing Compact,20,450,-112.18
Wing Compact,25,450,-116.87
Wing Compact,30,450,-121.08
Wing Compact,35,450,-124.25
Wing Compact,40,450,-126.23
Wing Compact,45,450,-126.95
SD8,0.5,150,-92.06
SD8,5.5,150,-96.47
SD8,10.5,150,-102.03
SD8,15.5,150,-106.4
SD8,20.5,150,-111.94
SD8,25.5,150,-116.82
SD8,30.5,150,-121.4
SD8,35.5,150,-124.91
SD8,40.5,150,-127.41
SD8,45.5,150,-128.61
SD8,0.5,300,-92.02
SD8,5.5,300,-96.45
SD8,10.5,300,-102.11
SD8,15.5,300,-106.49
SD8,20.5,300,-111.88
SD8,25.5,300,-116.76
SD8,30.5,300,-120.93
SD8,35.5,300,-124.31
SD8,40.5,300,-126.41
SD8,45.5,300,-127.42
SD8,0.5,450,-92.02
SD8,5.5,450,-96.49
SD8,10.5,450,-102.04
SD8,15.5,450,-106.41
SD8,20.5,450,-111.82
SD8,25.5,450,-116.52
SD8,30.5,450,-120.68
SD8,35.5,450,-123.75
SD8,40.5,450,-125.66
SD8,45.5,450,-126.31
X32,0.5,150,-92.11
X32,5.5,150,-96.52
X32,10.5,150,-102.06
X32,15.5,150,-106.46
X32,20.5,150,-111.98
X32,25.5,150,-116.76
X32,30.5,150,-121.18
X32,35.5,150,-124.99
X32,40.5,150,-127.2
X32,45.5,150,-128.26
X32,0.5,300,-92.09
X32,5.5,300,-96.52
X32,10.5,300,-102.06
X32,15.5,300,-106.45
X32,20.5,300,-111.92
X32,25.5,300,-116.67
X32,30.5,300,-120.96
X32,35.5,300,-124.47
X32,40.5,300,-126.35
X32,45.5,300,-127.25
X32,0.5,450,-92.07
X32,5.5,450,-96.43
X32,10.5,450,-102.03
X32,15.5,450,-106.37
X32,20.5,450,-111.88
X32,25.5,450,-116.57
X32,30.5,450,-120.79
X32,35.5,450,-124.06
X32,40.5,450,-125.77
X32,45.5,450,-126.55
